order_id,user_id,order_ts,amount,currency,country,status
o-1,u-712,2026-02-04T00:00:00Z,10977.17,JPY,us,CANCELLED
o-2,u-3724,2026-02-09T00:00:00Z,9364.28,JPY,us,CANCELLED
o-3,u-10,2026-02-02T00:00:00Z,8833.92,JPY,jp,CANCELLED
o-4,u-624,2026-02-05T00:00:00Z,18545.87,JPY,us,COMPLETED
o-5,u-3503,2026-02-02T00:00:00Z,6946.32,JPY,JP,CANCELLED
o-6,u-3350,2026-02-01T00:00:00Z,12661.12,JPY,jp,CANCELLED
o-7,u-78,2026-02-02T00:00:00Z,1791.12,JPY,JP,COMPLETED
o-8,u-1785,2026-02-03T00:00:00Z,16013.78,JPY,JP,REFUNDED
o-9,u-1473,2026-02-02T00:00:00Z,9509.02,JPY,us,COMPLETED
o-10,u-3784,2026-02-10T00:00:00Z,15822.22,JPY,us,REFUNDED
o-11,u-2925,2026-02-04T00:00:00Z,19576.55,JPY,us,REFUNDED
o-12,u-1504,2026-02-09T00:00:00Z,4074.04,JPY,JP,COMPLETED
o-13,u-4428,2026-02-10T00:00:00Z,2332.29,JPY,JP,REFUNDED
o-14,u-1065,2026-02-10T00:00:00Z,8402.81,JPY,JP,CANCELLED
o-15,u-133,2026-02-05T00:00:00Z,8560.24,JPY,JP,REFUNDED
o-16,u-4619,2026-02-09T00:00:00Z,732.37,JPY,us,CANCELLED
o-17,u-3348,2026-02-08T00:00:00Z,5771.37,JPY,us,COMPLETED
o-18,u-396,2026-02-02T00:00:00Z,11235.34,JPY,jp,CANCELLED
o-19,u-804,2026-02-07T00:00:00Z,16986.11,JPY,JP,REFUNDED
o-20,u-2460,2026-02-01T00:00:00Z,3595.42,JPY,JP,REFUNDED
o-21,u-3361,2026-02-07T00:00:00Z,733.77,JPY,us,COMPLETED
o-22,u-3198,2026-02-05T00:00:00Z,6688.94,JPY,JP,CANCELLED
o-23,u-2242,2026-02-04T00:00:00Z,15302.71,JPY,us,COMPLETED
o-24,u-4142,2026-02-03T00:00:00Z,15966.19,JPY,JP,CANCELLED
o-25,u-3040,2026-02-05T00:00:00Z,6275.26,JPY,JP,COMPLETED
o-26,u-1702,2026-02-09T00:00:00Z,1820.05,JPY,JP,REFUNDED
o-27,u-1744,2026-02-07T00:00:00Z,15490.74,JPY,jp,CANCELLED
o-28,u-499,2026-02-01T00:00:00Z,2919.06,JPY,jp,COMPLETED
o-29,u-913,2026-02-09T00:00:00Z,6035.05,JPY,jp,CANCELLED
o-30,u-688,2026-02-04T00:00:00Z,14515.43,JPY,JP,REFUNDED
o-31,u-1683,2026-02-01T00:00:00Z,3783.93,JPY,JP,COMPLETED
o-32,u-3634,2026-02-04T00:00:00Z,9030.46,JPY,jp,COMPLETED
o-33,u-2827,2026-02-05T00:00:00Z,2347.34,JPY,jp,CANCELLED
o-34,u-2746,2026-02-06T00:00:00Z,12501.36,JPY,jp,COMPLETED
o-35,u-3181,2026-02-05T00:00:00Z,19876.29,JPY,us,CANCELLED
o-36,u-3164,2026-02-08T00:00:00Z,19495.07,JPY,us,CANCELLED
o-37,u-3912,2026-02-06T00:00:00Z,5617.72,JPY,us,REFUNDED
o-38,u-2564,2026-02-07T00:00:00Z,7718.95,JPY,us,COMPLETED
o-39,u-342,2026-02-04T00:00:00Z,9748.84,JPY,JP,REFUNDED
o-40,u-2152,2026-02-01T00:00:00Z,9321.81,JPY,JP,REFUNDED
o-41,u-2962,2026-02-03T00:00:00Z,937.35,JPY,us,REFUNDED
o-42,u-3131,2026-02-03T00:00:00Z,11456.17,JPY,jp,REFUNDED
o-43,u-4711,2026-02-06T00:00:00Z,10822.17,JPY,us,CANCELLED
o-44,u-124,2026-02-04T00:00:00Z,9428.93,JPY,us,REFUNDED
o-45,u-156,2026-02-02T00:00:00Z,2465.66,JPY,JP,COMPLETED
o-46,u-4918,2026-02-03T00:00:00Z,4905.14,JPY,us,REFUNDED
o-47,u-103,2026-02-05T00:00:00Z,5250.32,JPY,JP,REFUNDED
o-48,u-909,2026-02-10T00:00:00Z,19335.75,JPY,us,CANCELLED
o-49,u-1632,2026-02-08T00:00:00Z,4238.77,JPY,us,CANCELLED
o-50,u-1204,2026-02-02T00:00:00Z,16842.43,JPY,jp,REFUNDED
o-51,u-3971,2026-02-07T00:00:00Z,4678.02,JPY,jp,REFUNDED
o-52,u-3129,2026-02-09T00:00:00Z,3873.64,JPY,jp,COMPLETED
o-53,u-3954,2026-02-08T00:00:00Z,9570.55,JPY,JP,REFUNDED
o-54,u-3531,2026-02-06T00:00:00Z,14329.37,JPY,jp,CANCELLED
o-55,u-3961,2026-02-07T00:00:00Z,5896.26,JPY,JP,COMPLETED
o-56,u-321,2026-02-09T00:00:00Z,15880.89,JPY,us,CANCELLED
o-57,u-4898,2026-02-04T00:00:00Z,9271.18,JPY,us,COMPLETED
o-58,u-3178,2026-02-04T00:00:00Z,17411.69,JPY,jp,COMPLETED
o-59,u-688,2026-02-02T00:00:00Z,11940.28,JPY,JP,CANCELLED
o-60,u-3826,2026-02-01T00:00:00Z,5517.13,JPY,us,CANCELLED
o-61,u-1189,2026-02-07T00:00:00Z,17121.14,JPY,JP,REFUNDED
o-62,u-615,2026-02-06T00:00:00Z,6361.15,JPY,us,COMPLETED
o-63,u-4528,2026-02-07T00:00:00Z,4253.88,JPY,JP,COMPLETED
o-64,u-438,2026-02-03T00:00:00Z,15806.08,JPY,us,CANCELLED
o-65,u-1169,2026-02-10T00:00:00Z,1904.18,JPY,jp,COMPLETED
o-66,u-3735,2026-02-07T00:00:00Z,9309.87,JPY,us,COMPLETED
o-67,u-2957,2026-02-08T00:00:00Z,14414.34,JPY,jp,REFUNDED
o-68,u-1518,2026-02-01T00:00:00Z,6484.26,JPY,us,COMPLETED
o-69,u-1509,2026-02-04T00:00:00Z,16338.53,JPY,jp,CANCELLED
o-70,u-39,2026-02-10T00:00:00Z,16353.79,JPY,JP,REFUNDED
o-71,u-3338,2026-02-03T00:00:00Z,4283.14,JPY,JP,CANCELLED
o-72,u-1693,2026-02-02T00:00:00Z,8056.21,JPY,us,REFUNDED
o-73,u-3448,2026-02-10T00:00:00Z,4646.45,JPY,us,COMPLETED
o-74,u-2816,2026-02-02T00:00:00Z,757.92,JPY,jp,COMPLETED
o-75,u-986,2026-02-09T00:00:00Z,7544.65,JPY,us,CANCELLED
o-76,u-1613,2026-02-02T00:00:00Z,1383.2,JPY,JP,CANCELLED
o-77,u-1075,2026-02-07T00:00:00Z,6453.13,JPY,JP,COMPLETED
o-78,u-4732,2026-02-09T00:00:00Z,5561.35,JPY,JP,CANCELLED
o-79,u-2146,2026-02-10T00:00:00Z,14110.78,JPY,us,REFUNDED
o-80,u-693,2026-02-09T00:00:00Z,8033.1,JPY,JP,REFUNDED
o-81,u-178,2026-02-10T00:00:00Z,14721.74,JPY,jp,CANCELLED
o-82,u-251,2026-02-02T00:00:00Z,6906.02,JPY,JP,CANCELLED
o-83,u-198,2026-02-01T00:00:00Z,15343.02,JPY,us,REFUNDED
o-84,u-657,2026-02-02T00:00:00Z,12430.71,JPY,jp,REFUNDED
o-85,u-517,2026-02-10T00:00:00Z,18891.06,JPY,jp,CANCELLED
o-86,u-889,2026-02-07T00:00:00Z,19579.64,JPY,us,COMPLETED
o-87,u-2694,2026-02-05T00:00:00Z,15317.49,JPY,JP,REFUNDED
o-88,u-3770,2026-02-09T00:00:00Z,14323.83,JPY,us,CANCELLED
o-89,u-541,2026-02-02T00:00:00Z,6986.78,JPY,us,COMPLETED
o-90,u-4446,2026-02-02T00:00:00Z,19843.88,JPY,JP,CANCELLED
o-91,u-1559,2026-02-09T00:00:00Z,8340.81,JPY,us,COMPLETED
o-92,u-3972,2026-02-08T00:00:00Z,3313.59,JPY,jp,COMPLETED
o-93,u-552,2026-02-07T00:00:00Z,7530.27,JPY,us,REFUNDED
o-94,u-1763,2026-02-10T00:00:00Z,16137.18,JPY,us,REFUNDED
o-95,u-2285,2026-02-06T00:00:00Z,7897.34,JPY,jp,COMPLETED
o-96,u-1746,2026-02-04T00:00:00Z,11566.43,JPY,jp,COMPLETED
o-97,u-1481,2026-02-03T00:00:00Z,12759.23,JPY,jp,REFUNDED
o-98,u-1697,2026-02-09T00:00:00Z,8659.76,JPY,us,REFUNDED
o-99,u-1500,2026-02-07T00:00:00Z,12424.29,JPY,jp,CANCELLED
o-100,u-2820,2026-02-01T00:00:00Z,7530.29,JPY,JP,CANCELLED
